"","Peso","Altura","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"146",81.4,1.82,4,2,0,182,0,0
"147",78.3,1.87,1,0,0,84,0,0
"148",70,1.78,1,0,0,15,0,0
"149",61.9,1.69,6,3,0,302,1,0
"150",75.1,1.92,4,4,0,276,0,0
"151",79,1.84,4,4,0,360,1,0
"152",69,1.8,0,0,0,0,0,0
"153",78.8,1.81,8,6,0,529,1,0
"154",74.6,1.85,9,9,0,810,1,0
"155",64,1.68,9,7,1,619,1,0
"156",70,1.85,1,0,0,45,0,0
"157",76,1.77,10,9,0,805,3,0
"158",75,1.79,10,10,0,871,2,0
"159",70,1.75,0,0,0,0,0,0
"160",81,1.74,7,2,1,281,0,0
"161",91,1.87,9,9,8,798,2,0
"162",74.4,1.78,4,4,0,264,0,0
"163",75.6,1.77,9,7,1,595,1,0
"164",64.8,1.78,7,6,1,556,1,0
"165",78.4,1.77,4,0,0,54,0,0
"166",80,1.82,0,0,0,0,0,0
"167",69,1.72,0,0,0,0,0,0
"168",78,1.78,10,10,0,900,2,0
"169",79,1.8,1,1,0,48,0,0
"170",77,1.82,6,4,0,419,1,0
"171",77,1.85,2,0,0,85,1,0
"172",68,1.67,0,0,0,0,0,0
"173",72,1.81,6,5,1,470,1,0
"174",79,1.76,10,10,0,894,1,0
"175",89,1.9,8,8,2,645,0,0
"176",78,1.77,2,2,0,180,1,0
"177",80,1.83,10,10,1,900,3,0
"178",74,1.75,0,0,0,0,0,0
"179",77,1.81,0,0,0,0,0,0
"180",69,1.68,1,0,0,46,0,0
"181",68,1.7,1,0,0,12,0,0
"182",67,1.69,10,10,0,701,1,0
"183",77,1.78,6,2,0,267,1,0
"184",75,1.72,10,10,0,900,4,0
"185",80,1.8,9,8,0,723,1,0
"186",73,1.72,8,4,3,348,2,1
"187",71,1.77,0,0,0,0,0,0
"188",70,1.71,0,0,0,0,0,0
"189",77,1.78,6,4,1,363,1,0
"190",69,1.67,0,0,0,0,0,0
"191",78,1.79,10,10,6,875,3,0
"192",83,1.82,0,0,0,0,0,0
"193",78,1.78,10,6,1,526,1,0
"194",80,1.84,6,0,1,50,1,0
"195",69,1.78,7,6,4,528,2,0
"196",76.5,1.79,6,6,0,540,0,0
"197",77.5,1.81,0,0,0,0,0,0
"198",75,1.81,4,4,0,360,1,0
"199",72.7,1.74,7,6,0,520,1,0
"200",69,1.75,2,1,0,104,0,0
"201",68.5,1.78,3,2,1,202,0,0
"202",80.9,1.82,9,9,0,807,2,1
"203",80,1.81,7,6,1,455,2,1
"204",78,1.78,6,6,0,540,1,0
"205",63.4,1.66,0,0,0,0,0,0
"206",70.2,1.77,9,7,1,668,2,0
"207",85.6,1.81,3,3,1,270,0,0
"208",59,1.8,0,0,0,0,0,0
"209",71.1,1.81,0,0,0,0,0,0
"210",76.5,1.76,6,3,0,239,0,0
"211",72.4,1.74,3,3,0,270,1,0
"212",64.5,1.7,10,9,3,771,2,0
"213",66.8,1.7,6,4,0,340,1,0
"214",66.8,1.7,7,2,1,286,1,0
"215",76.8,1.82,8,8,1,640,0,0
"216",72,1.73,8,8,0,645,1,0
"217",78.9,1.8,1,0,0,13,0,0
"218",69.7,1.67,10,10,5,900,2,0
"219",70.3,1.74,0,0,0,0,0,0
"220",68.7,1.72,6,1,0,165,1,1
"221",85,1.87,10,6,2,647,2,0
"222",74.5,1.75,8,5,1,414,1,0
"223",85.9,1.86,0,0,0,0,0,0
"224",79,1.8,0,0,0,0,0,0
"225",86,1.84,10,10,0,900,1,0
"226",77.2,1.75,0,0,0,0,0,0
"227",78,1.9,0,0,0,0,0,0
"228",74.6,1.78,8,7,0,621,1,0
"229",60,1.69,0,0,0,0,0,0
"230",78.5,1.81,3,3,0,245,0,0
"231",72.6,1.79,0,0,0,0,0,0
"232",81,1.85,10,10,0,900,2,0
"233",68,1.69,3,3,0,195,0,0
"234",74,1.76,1,0,0,19,0,0
"235",83,1.89,0,0,0,0,0,0
"236",77,1.82,0,0,0,0,0,0
"237",63,1.64,7,3,0,208,0,0
"238",73,1.83,9,9,0,810,2,1
"239",71.8,1.74,8,6,0,563,1,1
"240",72,1.66,10,8,1,683,2,0
"241",73,1.78,0,0,0,0,0,0
"242",87.5,1.9,8,8,0,693,2,0
"243",74.8,1.75,6,3,0,322,2,0
"244",64,1.67,1,0,0,19,0,0
"245",70,1.74,8,7,0,629,1,0
"246",73,1.78,9,2,0,358,0,0
"247",75,1.78,9,8,2,701,0,0
"248",75,1.74,8,8,2,663,0,1
"249",82.8,1.84,7,2,2,256,0,0
"250",82,1.86,1,1,0,57,0,0
"251",87,1.88,0,0,0,0,0,0
"252",75,1.82,3,2,0,185,0,0
"253",61,1.66,10,9,0,779,0,0
"254",76.8,1.84,5,5,0,450,0,0
"255",88.2,1.82,5,5,0,450,1,0
"256",80,1.87,0,0,0,0,0,0
"257",78,1.84,0,0,0,0,0,0
"258",72.2,1.8,6,6,0,540,0,0
"259",74.3,1.85,6,5,0,458,1,0
"260",66.8,1.68,0,0,0,0,0,0
"261",76,1.84,10,10,0,900,2,0
"262",82.5,1.84,10,10,0,900,1,0
"263",68.4,1.77,5,5,0,422,1,0
"264",74.5,1.73,8,8,0,704,3,0
"265",64.2,1.7,5,1,0,124,0,0
"266",66.3,1.72,10,10,1,882,1,0
"267",78.4,1.71,10,10,0,892,4,0
"268",62,1.68,2,0,0,35,0,0
"269",55.1,1.72,3,3,0,204,0,0
"270",59.8,1.67,0,0,0,0,0,0
"271",77,1.74,4,3,0,294,1,0
"272",72,1.77,9,7,1,521,1,1
"273",70,1.73,7,5,0,390,1,0
"274",96,1.87,9,7,2,561,4,0
"275",75,1.7,4,1,0,126,0,0
"276",76.9,1.8,10,8,7,710,2,0
"277",81.3,1.8,4,0,0,100,0,0
"278",74.4,1.79,10,10,0,900,0,0
"279",77,1.9,0,0,0,0,0,0
"280",83,1.87,0,0,0,0,0,0
"281",80,1.84,10,10,0,885,3,1
"282",81,1.86,0,0,0,0,0,0
"283",72,1.82,0,0,0,0,0,0
"284",77.5,1.83,8,7,1,634,0,0
"285",74,1.74,10,10,2,818,2,0
"286",72,1.73,6,6,0,511,3,0
"287",70,1.75,0,0,0,0,0,0
"288",77,1.77,0,0,0,0,0,0
"289",80,1.86,7,6,0,506,3,0
"290",76,1.77,4,1,0,122,1,0
"291",72.9,1.77,0,0,0,0,0,0
"292",55,1.65,10,10,1,891,2,0
"293",68,1.8,10,10,2,802,2,0
"294",75.4,1.79,4,3,0,233,2,0
