"","Nombre","Equipo & Posicion","Peso","Altura","Nacionalidad","Juegos Jugados","Juegos Titular","Goles","Autogoles","Minutos Jugados","Tarjetas Amarillas","Tarjetas Rojas"
"40","Miguel Ángel Herrera Equihua","Defensa en León (LIGA MX)","81 kg","1.83","Mexicano","3","2",NA,"0","189",NA,NA
"41","Ramiro Gabriel González Hernández","Defensa Central en León (LIGA MX) para Clausura 2019 - Apertura 2021","79 kg","1.82","Argentino","2","2",NA,"0","180",NA,NA
"42","Osvaldo Rodríguez del Portal","Defensa Lateral en León (LIGA MX) para Apertura 2018 - Clausura 2022","74.5 kg","1.75","Mexicano","5","2",NA,"0","261","2",NA
"43","Jaine Stiven Barreiro Solis","Defensa en León (LIGA MX) para Clausura 2020 - Clausura 2021","80 kg","1.89","Colombiano","8","8",NA,"0","720","3",NA
"44","Juan Ignacio González Ibarra","Defensa Central en León (LIGA MX)","83.6 kg","1.88","Mexicano","2","2",NA,"0","141","1",NA
"45","Luis Arturo Montes Jiménez","Medio Ofensivo en León (LIGA MX) para Apertura 2018 - Clausura 2021","67.9 kg","1.66","Mexicano","9","8","2","0","714",NA,NA
"46","Yairo Yesid Moreno Berrio","Medio en León (LIGA MX) para Apertura 2018 - Clausura 2021","70 kg","1.77","Colombiano","7","7",NA,"0","566","1",NA
"47","José Iván Rodríguez Rebollar","Medio Defensivo en León (LIGA MX) para Apertura 2018 - Clausura 2021","60.9 kg","1.71","Mexicano","3","1",NA,"0","95",NA,NA
"48","Ángel Israel Mena Delgado","Medio Ofensivo en León (LIGA MX) para Clausura 2019 - Apertura 2021","71 kg","1.68","Ecuatoriano","10","10","8","0","870","4",NA
"49","Jean David Meneses Villarroel","Medio en León (LIGA MX) para Apertura 2019 - Clausura 2021","65.1 kg","1.63","Chileno","10","10","4","0","863",NA,NA
"50","Pedro Jesús Aquino Sánchez","Medio en León (LIGA MX) para Apertura 2018 - Clausura 2021","71 kg","1.75","Peruano","9","8",NA,"0","710","3","1"
"51","Jown Anderson Cardona Agudelo","Medio en León (LIGA MX) para Apertura 2019 - Clausura 2020","65 kg","1.69","Colombiano","1",NA,NA,"0","9",NA,NA
"52","Víctor Ismael Sosa ","Delantero en León (LIGA MX) para Clausura 2020","75 kg","1.79","Argentino","9","7","2","0","589",NA,NA
"53","Joel Nathaniel Campbell Samuels","Delantero en León (LIGA MX) para Clausura 2019 - Clausura 2020","78 kg","1.78","Costarricense","7","1","1","0","241",NA,NA
"54","Leonardo Javier Ramos ","Delantero en León (LIGA MX) para Apertura 2019 - Clausura 2022","84.1 kg","1.85","Argentino","8","8","3","0","613",NA,NA
"55","José de Jesús Godínez Navarro","Delantero en León (LIGA MX) para Apertura 2019 - Clausura 2021","79 kg","1.83","Mexicano","4",NA,NA,"0","88",NA,NA
"56","Iván Fernando Ochoa Chávez","Delantero en León (LIGA MX) para Clausura 2020 - Apertura 2020","76 kg","1.78","Mexicano",NA,NA,NA,"0",NA,NA,NA
"57","Nicolás Sosa Sánchez","Delantero en León (LIGA MX) para Clausura 2020 - Apertura 2023","66.03 kg","1.77","Uruguayo","2",NA,NA,"0","10",NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Jonathan Emmanuel Orozco Domínguez","Portero en Santos Laguna (LIGA MX) para Apertura 2018 - Apertura 2021","81 kg","1.84","Mexicano","10","10",NA,"0","900",NA,NA
"67","Carlos Acevedo López","Portero en Santos Laguna (LIGA MX) para Apertura 2018 - Clausura 2022","74 kg","1.84","Mexicano",NA,NA,NA,"0",NA,NA,NA
"68","Josecarlos Van Rankin Galland","Defensa Lateral en Santos Laguna (LIGA MX) para Clausura 2020 - Apertura 2020","73 kg","1.78","Mexicano","10","10",NA,"0","893","2",NA
"69","Félix Eduardo Torres Caicedo","Defensa Central en Santos Laguna (LIGA MX) para Apertura 2019 - Clausura 2023","77 kg","1.87","Ecuatoriano","6","6",NA,NA,"540","2",NA
"70","Gerardo Daniel Arteaga Zamora","Defensa Lateral en Santos Laguna (LIGA MX) para Apertura 2018 - Clausura 2023","64 kg","1.74","Mexicano","10","10",NA,"0","900","2",NA
"71","Hugo Isaác Rodríguez de la O","Defensa Central en Santos Laguna (LIGA MX) para Clausura 2019 - Apertura 2021","80 kg","1.83","Mexicano","6","6","1","0","538","2","1"
"72","Matheus Doria Macedo","Defensa en Santos Laguna (LIGA MX) para Apertura 2018 - Clausura 2022","82 kg","1.88","Brasileño","8","8","1","0","653","1",NA
"73","Alan Jhosué Cervantes Martín del Campo","Medio en Santos Laguna (LIGA MX) para Clausura 2020 - Apertura 2022","68.6 kg","1.81","Mexicano","3",NA,NA,"0","19",NA,NA
"74","Brayan Eduardo Garnica Cortés","Medio Ofensivo en Santos Laguna (LIGA MX) para Clausura 2019 - Apertura 2022","60 kg","1.67","Mexicano",NA,NA,NA,"0",NA,NA,NA
"75","Carlos Emilio Orrantia Treviño","Medio en Santos Laguna (LIGA MX) para Apertura 2018 - Apertura 2021","63 kg","1.76","Mexicano","6","5",NA,"0","414",NA,NA
"76","Diego Alfonso Valdés Contreras","Medio en Santos Laguna (LIGA MX) para Clausura 2019 - Apertura 2022","75 kg","1.79","Chileno","10","3","1","0","452","1",NA
"77","Fernando Gorriarán Fontes","Medio en Santos Laguna (LIGA MX) para Apertura 2019 - Clausura 2023","68 kg","1.68","Uruguayo","10","10",NA,"0","900","3",NA
"78","David Alfredo Andrade Gómez","Medio en Santos Laguna (LIGA MX) para Apertura 2019 - Clausura 2021","64 kg","1.68","Mexicano",NA,NA,NA,"0",NA,NA,NA
"79","Brian Avelino Lozano Aparicio","Medio Ofensivo en Santos Laguna (LIGA MX) para Apertura 2018 - Apertura 2022","67 kg","1.67","Uruguayo","10","10","3","0","900","4",NA
"80","Ulíses Rivas Gilio","Medio en Santos Laguna (LIGA MX) para Apertura 2018 - Clausura 2022","72 kg","1.76","Mexicano","10","10",NA,"0","830","2",NA
