"","Nombre","Equipo & Posicion","Peso","Altura","Nacionalidad","Juegos Jugados","Juegos Titular","Goles","Autogoles","Minutos Jugados","Tarjetas Amarillas","Tarjetas Rojas"
"183","Sebastián Saucedo Mondragón","Medio Ofensivo en PUMAS (LIGA MX) para Clausura 2020 - Clausura 2022","74 kg","1.73","Mexicano","10","8","1","0","596","1","1"
"184","Juan Pablo Vigon Cham","Medio Ofensivo en PUMAS (LIGA MX) para Apertura 2019 - Clausura 2022","70.4 kg","1.75","Mexicano","7","5","2","0","415",NA,NA
"185","Alejandro Zamudio Galindo","Medio en PUMAS (LIGA MX) para Clausura 2020","60 kg","1.73","Mexicano",NA,NA,NA,"0",NA,NA,NA
"186","Favio Enrique Álvarez ","Medio Ofensivo en PUMAS (LIGA MX) para Clausura 2020 - Apertura 2020","74.3 kg","1.84","Argentino","10","8","2","0","657","4",NA
"187","Pablo Edson Barrera Acosta","Delantero en PUMAS (LIGA MX)","74.8 kg","1.74","Mexicano","10","10","1","0","736","1",NA
"188","Martín  Barragán  Negrete","Delantero en PUMAS (LIGA MX) para Apertura 2019 - Clausura 2020","76.9 kg","1.77","Mexicano",NA,NA,NA,"0",NA,NA,NA
"189","Juan Ignacio Dinenno De Cara","Delantero en PUMAS (LIGA MX) para Clausura 2020 - Apertura 2022","84 kg","1.87","Argentino","8","2","4","0","322",NA,NA
"190","Carlos Gabriel González Espinola","Delantero en PUMAS (LIGA MX) para Apertura 2018 - Clausura 2021","80 kg","1.83","Paraguayo","10","10","4","0","900","1",NA
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Nahuel Ignacio Guzmán Palomeque","Portero en UANL (LIGA MX) para Apertura 2018 - Clausura 2021","93.5 kg","1.93","Argentino","10","10",NA,"0","900",NA,NA
"200","Eduardo  Fernández López","Portero en UANL (LIGA MX) para Apertura 2018 - Apertura 2021","84 kg","1.91","Mexicano",NA,NA,NA,"0",NA,NA,NA
"201","Miguel René Ortega Rodríguez","Portero en UANL (LIGA MX) para Apertura 2018 - Clausura 2021","74.2 kg","1.93","Mexicano",NA,NA,NA,"0",NA,NA,NA
"202","Carlos Joel Salcedo Hernández","Defensa en UANL (LIGA MX) para Clausura 2019 - Apertura 2022","77 kg","1.88","Mexicano","5","4",NA,"0","405","1",NA
"203","Hugo Ayala Castro","Defensa en UANL (LIGA MX) para Clausura 2019 - Clausura 2020","81 kg","1.83","Mexicano","6","6",NA,"0","495",NA,NA
"204","Jorge Emmanuel Torres Nilo","Defensa en UANL (LIGA MX) para Clausura 2020 - Clausura 2021","81.4 kg","1.82","Mexicano","4","2",NA,"0","182",NA,NA
"205","Juan José Sánchez Purata","Defensa en UANL (LIGA MX) para Apertura 2018 - Clausura 2021","78.3 kg","1.87","Mexicano","1",NA,NA,"0","84",NA,NA
"206","Francisco Eduardo Venegas Moreno","Defensa en UANL (LIGA MX) para Clausura 2020 - Apertura 2022","70 kg","1.78","Mexicano","1",NA,NA,"0","15",NA,NA
"207","Jordan Steeven Sierra Flores","Defensa en UANL (LIGA MX) para Clausura 2020 - Apertura 2020","61.9 kg","1.69","Ecuatoriano","6","3",NA,"0","302","1",NA
"208","Diego Antonio Reyes Rosales","Defensa en UANL (LIGA MX) para Apertura 2019 - Clausura 2020","75.1 kg","1.92","Mexicano","4","4",NA,"0","276",NA,NA
"209","Francisco Javier Meza Palma","Defensa en UANL (LIGA MX) para Clausura 2020 - Clausura 2021","79 kg","1.84","Colombiano","4","4",NA,"0","360","1",NA
"210","Eduardo Santiago Tercero Méndez","Defensa Central en UANL (LIGA MX)","69 kg","1.8","Mexicano",NA,NA,NA,"0",NA,NA,NA
"211","Rafael De Souza Pereira","Medio en UANL (LIGA MX)","78.8 kg","1.81","Brasileño","8","6",NA,"0","529","1",NA
"212","Guido Hernán Pizarro Demestri","Medio en UANL (LIGA MX)","74.6 kg","1.85","Mexicano","9","9",NA,"0","810","1",NA
"213","Javier Ignacio Aquino Carmona","Medio en UANL (LIGA MX) para Apertura 2018 - Apertura 2020","64 kg","1.68","Mexicano","9","7","1","0","619","1",NA
"214","Jürgen Damm Rascón","Medio en UANL (LIGA MX)","70 kg","1.85","Mexicano","1",NA,NA,"0","45",NA,NA
"215","Luis Alfonso Rodríguez Alanís","Medio en UANL (LIGA MX) para Apertura 2018 - Apertura 2020","76 kg","1.77","Mexicano","10","9",NA,"0","805","3",NA
"216","Jesús Alberto Dueñas Manzo","Medio en UANL (LIGA MX) para Clausura 2020 - Apertura 2021","75 kg","1.79","Mexicano","10","10",NA,"0","871","2",NA
"217","José Luis García Montes","Medio en UANL (LIGA MX) para Apertura 2019 - Clausura 2022","70 kg","1.75","Mexicano",NA,NA,NA,"0",NA,NA,NA
"218","Eduardo Jesús Vargas Rojas","Delantero en UANL (LIGA MX) para Apertura 2018 - Apertura 2020","81 kg","1.74","Chileno","7","2","1","0","281",NA,NA
"219","André-pierre Christian Gignac ","Delantero en UANL (LIGA MX)","91 kg","1.87","Francés","9","9","8","0","798","2",NA
"220","Nicolás Federico López Alonso","Delantero en UANL (LIGA MX) para Clausura 2020 - Apertura 2020","74.4 kg","1.78","Uruguayo","4","4",NA,"0","264",NA,NA
"221","Enner Remberto Valencia Lastra","Delantero en UANL (LIGA MX)","75.6 kg","1.77","Ecuatoriano","9","7","1","0","595","1",NA
"222","Luis Enrique Quiñones ","Delantero en UANL (LIGA MX) para Clausura 2019 - Apertura 2020","64.8 kg","1.78","Colombiano","7","6","1","0","556","1",NA
"223","Julián Andrés Quiñones Quiñones","Delantero en UANL (LIGA MX) para Clausura 2020 - Clausura 2023","78.4 kg","1.77","Colombiano","4",NA,NA,"0","54",NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Enrique Eduardo Palos Reyes","Portero en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","80 kg","1.82","Mexicano",NA,NA,NA,"0",NA,NA,NA
"238","Marco Antonio Canales Lomelí","Portero en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","69 kg","1.72","Mexicano",NA,NA,NA,"0",NA,NA,NA
"239","Edmundo Iván Vázquez Mellado Pérez","Portero en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2020","78 kg","1.78","Mexicano","10","10",NA,NA,"900","2",NA
"240","Jonathan Leonardo Lacerda Araujo","Defensa en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","79 kg","1.8","Uruguayo","1","1",NA,"0","48",NA,NA
"241","Luis Alberto López López","Defensa Central en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","77 kg","1.82","Mexicano","6","4",NA,"0","419","1",NA
"242","Elio Castro Guadarrama","Defensa en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","77 kg","1.85","Mexicano","2",NA,NA,"0","85","1",NA
"243","Eder Nicolás Borelli Cap","Defensa en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","68 kg","1.67","Mexicano",NA,NA,NA,"0",NA,NA,NA
"244","Maximiliano Martín Olivera De Andrea","Defensa Lateral en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2020","72 kg","1.81","Uruguayo","6","5","1","0","470","1",NA
"245","Israel Sabdi Jiménez Nañez","Defensa Lateral en FC Juárez (LIGA MX) para Clausura 2020","79 kg","1.76","Mexicano","10","10",NA,"0","894","1",NA
"246","Bruno Sebastián Romo Rojas","Defensa Central en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2020","89 kg","1.9","Chileno","8","8","2","0","645",NA,NA
"247","José Abraham Rodríguez Zazueta","Defensa en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2021","78 kg","1.77","Mexicano","2","2",NA,"0","180","1",NA
"248","Victor Gustavo Velazquez Ramos","Defensa Central en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2020","80 kg","1.83","Paraguayo","10","10","1","0","900","3",NA
"249","Alberto Joshimar Acosta Alvarado","Defensa en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","74 kg","1.75","Mexicano",NA,NA,NA,"0",NA,NA,NA
"250","César Ronaldo Gandara Jiménez","Defensa en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","77 kg","1.81","Mexicano",NA,NA,NA,"0",NA,NA,NA
"251","Walter Gael Sandoval Contreras","Medio Ofensivo en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2020","69 kg","1.68","Mexicano","1",NA,NA,"0","46",NA,NA
"252","Edy Germán Brambila Rosales","Medio Ofensivo en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","68 kg","1.7","Mexicano","1",NA,NA,"0","12",NA,NA
"253","Mauro Raúl Fernández ","Medio en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","67 kg","1.69","Argentino","10","10",NA,"0","701","1",NA
"254","William Gabriel Mendieta Pintos","Medio Ofensivo en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2021","77 kg","1.78","Paraguayo","6","2",NA,"0","267","1",NA
"255","Jefferson Alfredo Intriago Mendoza","Medio Defensivo en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2021","75 kg","1.72","Ecuatoriano","10","10",NA,"0","900","4",NA
"256","José Joaquín Esquivel Martínez","Medio en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2022","80 kg","1.8","Mexicano","9","8",NA,"0","723","1",NA
"257","Flavio Jesús Santos Carrillo","Medio Ofensivo en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","73 kg","1.72","Mexicano","8","4","3","0","348","2","1"
"258","Manuel Viniegra García","Medio en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","71 kg","1.77","Mexicano",NA,NA,NA,"0",NA,NA,NA
"259","Francisco Javier Nevarez Pulgarin","Medio Ofensivo en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2024","70 kg","1.71","Mexicano",NA,NA,NA,"0",NA,NA,NA
"260","Martín Ernesto Rabuñal Rey","Medio Defensivo en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2020","77 kg","1.78","Uruguayo","6","4","1","0","363","1",NA
"261","Omar Antonio Panuco Padilla","Medio Ofensivo en FC Juárez (LIGA MX) para Clausura 2020 - Apertura 2021","69 kg","1.67","Mexicano",NA,NA,NA,"0",NA,NA,NA
"262","Dario Lezcano Fariña","Delantero en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","78 kg","1.79","Paraguayo","10","10","6","0","875","3",NA
"263","Leandro Carrijo Silva","Delantero en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","83 kg","1.82","Brasileño",NA,NA,NA,"0",NA,NA,NA
"264","Ángelo Nicolás Sagal Tapia","Delantero en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","78 kg","1.78","Chileno","10","6","1","0","526","1",NA
"265","Brian Alejandro Rubio Rodríguez","Delantero en FC Juárez (LIGA MX) para Clausura 2020","80 kg","1.84","Mexicano","6",NA,"1","0","50","1",NA
"266","Diego Alejandro Rolan Silva","Delantero en FC Juárez (LIGA MX) para Apertura 2019 - Clausura 2020","69 kg","1.78","Uruguayo","7","6","4","0","528","2",NA
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Carlos Sebastián Sosa Silva","Portero en M. Morelia (LIGA MX)","76.5 kg","1.79","Mexicano","6","6",NA,"0","540",NA,NA
"276","Ricardo Daniel Gutiérrez Hernández","Portero en M. Morelia (LIGA MX)","77.5 kg","1.81","Mexicano",NA,NA,NA,"0",NA,NA,NA
"277","Luis Ángel Malagón Velázquez","Portero en M. Morelia (LIGA MX) para Apertura 2018 - Apertura 2022","75 kg","1.81","Mexicano","4","4",NA,"0","360","1",NA
"278","Efraín Velarde Calvillo","Defensa Lateral en M. Morelia (LIGA MX)","72.7 kg","1.74","Mexicano","7","6",NA,"0","520","1",NA
"279","Paolo Medina Etienne","Defensa Lateral en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2020","69 kg","1.75","Mexicano","2","1",NA,"0","104",NA,NA
"280","Carlos Alonso Vargas Tenorio","Defensa Central en M. Morelia (LIGA MX) para Clausura 2020 - Apertura 2020","68.5 kg","1.78","Mexicano","3","2","1","0","202",NA,NA
"281","Sebastián Ignacio Vegas Orellana","Defensa Central en M. Morelia (LIGA MX)","80.9 kg","1.82","Chileno","9","9",NA,"0","807","2","1"
"282","Jose Enrique Ortiz Cortes","Defensa Central en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2021","80 kg","1.81","Colombiano","7","6","1","0","455","2","1"
"283","Gonzalo Alejandro Jara Reyes","Defensa Central en M. Morelia (LIGA MX) para Clausura 2020 - Apertura 2020","78 kg","1.78","Chileno","6","6",NA,"0","540","1",NA
"284","Andrés Didyer Catalán Guemes","Defensa Lateral en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2022","63.4 kg","1.66","Mexicano",NA,NA,NA,"0",NA,NA,NA
"285","José Joaquín Martínez Valadez","Defensa Lateral en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2020","70.2 kg","1.77","Mexicano","9","7","1","0","668","2",NA
"286","Gabriel Eduardo Achilier Zurita","Defensa en M. Morelia (LIGA MX) para Clausura 2020 - Apertura 2020","85.6 kg","1.81","Ecuatoriano","3","3","1","0","270",NA,NA
"287","Jesús Eduardo González Mendivil","Defensa Central en M. Morelia (LIGA MX) para Clausura 2020 - Clausura 2021","59 kg","1.8","Mexicano",NA,NA,NA,"0",NA,NA,NA
"288","Mario Alejandro Trejo Castro","Defensa Lateral en M. Morelia (LIGA MX)","71.1 kg","1.81","Mexicano",NA,NA,NA,"0",NA,NA,NA
"289","Mario Humberto Osuna Pereznuñez","Medio Defensivo en M. Morelia (LIGA MX) para Clausura 2019 - Apertura 2020","76.5 kg","1.76","Mexicano","6","3",NA,"0","239",NA,NA
"290","Jorge Luis Valdivia Toro","Medio Ofensivo en M. Morelia (LIGA MX) para Clausura 2020 - Apertura 2020","72.4 kg","1.74","Chileno","3","3",NA,"0","270","1",NA
"291","Martín Vladimir Rodríguez Torrejón","Medio Ofensivo en M. Morelia (LIGA MX) para Clausura 2020 - Apertura 2020","64.5 kg","1.7","Chileno","10","9","3","0","771","2",NA
"292","Cándido Saúl Ramírez Montes","Medio en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2020","66.8 kg","1.7","Mexicano","6","4",NA,"0","340","1",NA
"293","Lucas Martin Villafañez ","Medio Ofensivo en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2020","66.8 kg","1.7","Argentino","7","2","1","0","286","1",NA
"294","Rodrigo Javier Millar Carvajal","Medio Ofensivo en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2020","76.8 kg","1.82","Mexicano","8","8","1","0","640",NA,NA
"295","Luis Ángel Mendoza Escamilla","Medio Ofensivo en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2020","72 kg","1.73","Mexicano","8","8",NA,"0","645","1",NA
"296","Roberto Ismael Meráz Bernal","Medio Defensivo en M. Morelia (LIGA MX)","78.9 kg","1.8","Mexicano","1",NA,NA,"0","13",NA,NA
"297","Aldo Paúl Rocha González","Medio Defensivo en M. Morelia (LIGA MX)","69.7 kg","1.67","Mexicano","10","10","5","0","900","2",NA
"298","Eduardo Del Ángel Reséndiz","Medio Defensivo en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2022","70.3 kg","1.74","Mexicano",NA,NA,NA,"0",NA,NA,NA
"299","César Saúl Huerta Valera","Delantero en M. Morelia (LIGA MX) para Clausura 2020 - Apertura 2020","68.7 kg","1.72","Mexicano","6","1",NA,"0","165","1","1"
"300","Fernando Luis Aristeguieta De Luca","Delantero en M. Morelia (LIGA MX) para Apertura 2019 - Clausura 2022","85 kg","1.87","Venezolano","10","6","2","0","647","2",NA
"301","Miguel Ángel Sansores Sánchez","Delantero en M. Morelia (LIGA MX)","74.5 kg","1.75","Mexicano","8","5","1","0","414","1",NA
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Jesús Iván Rodríguez Trujillo","Portero en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","85.9 kg","1.86","Mexicano",NA,NA,NA,"0",NA,NA,NA
"313","Santiago Noé Ramírez Acosta","Portero en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","79 kg","1.8","Mexicano",NA,NA,NA,"0",NA,NA,NA
"314","Nicolás Vikonis Moreau","Portero en Puebla F.C. (LIGA MX) para Clausura 2019 - Apertura 2020","86 kg","1.84","Uruguayo","10","10",NA,"0","900","1",NA
"315","Brayan Alexis Angulo León","Defensa Lateral en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","77.2 kg","1.75","Colombiano",NA,NA,NA,"0",NA,NA,NA
"316","Luis Fernando Haquin López","Defensa Central en Puebla F.C. (LIGA MX) para Clausura 2020 - Apertura 2020","78 kg","1.9","Boliviano",NA,NA,NA,"0",NA,NA,NA
"317","Daniel Arreola Argüello","Defensa Central en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","74.6 kg","1.78","Mexicano","8","7",NA,NA,"621","1",NA
"318","Diego Andrés Cruz Esparza","Defensa Lateral en Puebla F.C. (LIGA MX) para Clausura 2020","60 kg","1.69","Mexicano",NA,NA,NA,"0",NA,NA,NA
"319","Carlos Gerardo Rodríguez Serrano","Defensa en Puebla F.C. (LIGA MX) para Clausura 2020","78.5 kg","1.81","Mexicano","3","3",NA,"0","245",NA,NA
"320","Alonso René Zamora Barrera","Defensa en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","72.6 kg","1.79","Mexicano",NA,NA,NA,"0",NA,NA,NA
"321","Maximiliano Perg Schneider","Defensa Central en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","81 kg","1.85","Uruguayo","10","10",NA,"0","900","2",NA
"322","Jesús Arturo Paganoni Peña","Defensa Lateral en Puebla F.C. (LIGA MX) para Clausura 2020 - Apertura 2020","68 kg","1.69","Mexicano","3","3",NA,"0","195",NA,NA
"323","Maximiliano Javier Araújo Vilches","Defensa Lateral en Puebla F.C. (LIGA MX) para Clausura 2020 - Apertura 2023","74 kg","1.76","Uruguayo","1",NA,NA,"0","19",NA,NA
"324","Emanuel Gularte Méndez","Defensa Central en Puebla F.C. (LIGA MX) para Clausura 2020 - Apertura 2023","83 kg","1.89","Uruguayo",NA,NA,NA,"0",NA,NA,NA
"325","Néstor Vicente Vidrio Serrano","Defensa Central en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","77 kg","1.82","Mexicano",NA,NA,NA,"0",NA,NA,NA
"326","Alejandro Saúl Chumacero Bracamonte","Medio en Puebla F.C. (LIGA MX) para Clausura 2019 - Apertura 2020","63 kg","1.64","Boliviano","7","3",NA,"0","208",NA,NA
"327","Javier Alván  Salas Salazar","Medio en Puebla F.C. (LIGA MX) para Clausura 2020 - Apertura 2022","73 kg","1.83","Mexicano","9","9",NA,"0","810","2","1"
"328","Pablo González Díaz","Medio en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","71.8 kg","1.74","Mexicano","8","6",NA,"0","563","1","1"
"329","Osvaldo David Martínez Arce","Medio en Puebla F.C. (LIGA MX) para Clausura 2020 - Apertura 2020","72 kg","1.66","Mexicano","10","8","1","0","683","2",NA
"330","Jorge Jonathan Espericueta Escamilla","Medio en Puebla F.C. (LIGA MX)","73 kg","1.78","Mexicano",NA,NA,NA,"0",NA,NA,NA
"331","Jesús Eduardo Zavala Castañeda","Medio Defensivo en Puebla F.C. (LIGA MX) para Clausura 2019 - Apertura 2020","87.5 kg","1.9","Mexicano","8","8",NA,"0","693","2",NA
"332","Christian Camilo Marrugo Rodríguez","Medio Ofensivo en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","74.8 kg","1.75","Colombiano","6","3",NA,"0","322","2",NA
"333","Jorge Alejandro Zárate Careaga","Medio Ofensivo en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","64 kg","1.67","Mexicano","1",NA,NA,"0","19",NA,NA
"334","Salvador Reyes Chávez","Medio Ofensivo en Puebla F.C. (LIGA MX) para Clausura 2020","70 kg","1.74","Mexicano","8","7",NA,"0","629","1",NA
"335","Alan Jesús Acosta Montañez","Medio en Puebla F.C. (LIGA MX) para Apertura 2019 - Apertura 2021","73 kg","1.78","Mexicano","9","2",NA,NA,"358",NA,NA
"336","Ángel Zaldívar Caviedes","Delantero en Puebla F.C. (LIGA MX) para Clausura 2020","75 kg","1.78","Mexicano","9","8","2","0","701",NA,NA
"337","Christian Alejandro Tabó Hornos","Delantero en Puebla F.C. (LIGA MX) para Clausura 2019 - Apertura 2020","75 kg","1.74","Uruguayo","8","8","2","0","663",NA,"1"
"338","Cristian Matías Menéndez ","Delantero en Puebla F.C. (LIGA MX) para Clausura 2020 - Apertura 2020","82.8 kg","1.84","Argentino","7","2","2","0","256",NA,NA
"339","Santiago Gabriel Ormeño Zayas","Delantero en Puebla F.C. (LIGA MX) para Clausura 2020","82 kg","1.86","Mexicano","1","1",NA,"0","57",NA,NA
"340","Eduardo Herrera Aguirre","Delantero en Puebla F.C. (LIGA MX) para Clausura 2020","87 kg","1.88","Mexicano",NA,NA,NA,"0",NA,NA,NA
"341","Diego Abella Calleja","Delantero en Puebla F.C. (LIGA MX) para Apertura 2019 - Clausura 2020","75 kg","1.82","Mexicano","3","2",NA,"0","185",NA,NA
"342","Omar Andrés Fernández Frasica","Delantero en Puebla F.C. (LIGA MX) para Clausura 2019 - Apertura 2020","61 kg","1.66","Colombiano","10","9",NA,"0","779",NA,NA
"343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","Oscar Alfredo Ustari ","Portero en Pachuca (LIGA MX) para Clausura 2020 - Apertura 2020","76.8 kg","1.84","Argentino","5","5",NA,"0","450",NA,NA
"350","Alfonso Blanco Antúnez","Portero en Pachuca (LIGA MX) para Apertura 2018 - Clausura 2022","88.2 kg","1.82","Mexicano","5","5",NA,"0","450","1",NA
"351","Carlos Agustín Moreno Luna","Portero en Pachuca (LIGA MX) para Apertura 2019 - Apertura 2020","80 kg","1.87","Mexicano",NA,NA,NA,"0",NA,NA,NA
"352","Denil Omar Maldonado Munguia","Defensa Central en Pachuca (LIGA MX) para Clausura 2020 - Apertura 2020","78 kg","1.84","Hondureño",NA,NA,NA,"0",NA,NA,NA
"353","Miguel Ángel Tapias Dávila","Defensa Central en Pachuca (LIGA MX) para Apertura 2018 - Clausura 2021","72.2 kg","1.8","Mexicano","6","6",NA,"0","540",NA,NA
"354","Raúl López Gómez","Defensa Lateral en Pachuca (LIGA MX) para Apertura 2018 - Clausura 2021","74.3 kg","1.85","Mexicano","6","5",NA,"0","458","1",NA
"355","Emmanuel García Vaca","Defensa Lateral en Pachuca (LIGA MX)","66.8 kg","1.68","Mexicano",NA,NA,NA,"0",NA,NA,NA
"356","Gustavo Daniel Cabral ","Defensa Central en Pachuca (LIGA MX) para Apertura 2019 - Clausura 2021","76 kg","1.84","Argentino","10","10",NA,"0","900","2",NA
"357","Oscar Fabián Murillo Murillo","Defensa Central en Pachuca (LIGA MX) para Apertura 2018 - Clausura 2021","82.5 kg","1.84","Colombiano","10","10",NA,"0","900","1",NA
"358","Kevin Nahin Álvarez Campos","Defensa en Pachuca (LIGA MX) para Clausura 2020 - Apertura 2022","68.4 kg","1.77","Mexicano","5","5",NA,"0","422","1",NA
"359","Rubens Oscar Sambueza ","Medio Ofensivo en Pachuca (LIGA MX) para Apertura 2019 - Clausura 2020","74.5 kg","1.73","Mexicano","8","8",NA,"0","704","3",NA
"360","Cristian Souza España","Medio Ofensivo en Pachuca (LIGA MX) para Clausura 2020 - Apertura 2020","64.2 kg","1.7","Uruguayo","5","1",NA,"0","124",NA,NA
"361","Erick Germain Aguirre Tafolla","Medio Ofensivo en Pachuca (LIGA MX) para Apertura 2018 - Apertura 2023","66.3 kg","1.72","Mexicano","10","10","1","0","882","1",NA
"362","Jorge Daniel Hernández Govea","Medio Defensivo en Pachuca (LIGA MX) para Apertura 2018 - Apertura 2022","78.4 kg","1.71","Mexicano","10","10",NA,"0","892","4",NA
"363","Christian Alberto Cueva Bravo","Medio en Pachuca (LIGA MX) para Clausura 2020","62 kg","1.68","Peruano","2",NA,NA,"0","35",NA,NA
"364","Francisco Antonio Figueroa Díaz","Medio Ofensivo en Pachuca (LIGA MX) para Apertura 2018 - Apertura 2022","55.1 kg","1.72","Mexicano","3","3",NA,"0","204",NA,NA
