"","X","Nombre","Equipo...Posicion","Peso","Altura","Nacionalidad","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"74",74,"Brayan Eduardo Garnica Cortés","Santos Laguna ",60,1.67,"Mexicano",0,0,0,0,0,0
"75",75,"Carlos Emilio Orrantia Treviño","Santos Laguna ",63,1.76,"Mexicano",6,5,0,414,0,0
"76",76,"Diego Alfonso Valdés Contreras","Santos Laguna ",75,1.79,"Chileno",10,3,1,452,1,0
"77",77,"Fernando Gorriarán Fontes","Santos Laguna ",68,1.68,"Uruguayo",10,10,0,900,3,0
"78",78,"David Alfredo Andrade Gómez","Santos Laguna ",64,1.68,"Mexicano",0,0,0,0,0,0
"79",79,"Brian Avelino Lozano Aparicio","Santos Laguna ",67,1.67,"Uruguayo",10,10,3,900,4,0
"80",80,"Ulíses Rivas Gilio","Santos Laguna ",72,1.76,"Mexicano",10,10,0,830,2,0
"81",81,"Julio César Furch ","Santos Laguna ",88,1.88,"Argentino",10,10,3,818,2,0
"82",82,"Eryc Leonel Castillo Arroyo","Santos Laguna ",77,1.74,"Ecuatoriano",8,5,0,464,0,0
"83",83,"Eduar Ayrton Preciado García","Santos Laguna ",72,1.81,"Ecuatoriano",2,0,0,16,0,0
"84",84,"Eduardo Daniel Aguirre Lara","Santos Laguna ",75,1.76,"Mexicano",9,7,3,490,0,0
"85",85,"Raúl Octavio Rivero Falero","Santos Laguna ",84,1.85,"Uruguayo",7,0,1,104,0,0
"95",95,"Francisco Guillermo Ochoa Magaña","América ",85,1.9,"Mexicano",10,10,0,900,0,0
"96",96,"Oscar Francisco Jiménez Fabela","América ",77.8,1.82,"Mexicano",0,0,0,0,0,0
"97",97,"Luis Fernando Fuentes Vargas","América ",70,1.76,"Mexicano",9,8,2,785,1,0
"98",98,"Jorge Eduardo Sánchez Ramos","América ",71,1.75,"Mexicano",4,4,0,272,0,1
"99",99,"Sebastián Enzo Cáceres Ramos","América ",76.6,1.8,"Uruguayo",1,0,0,38,0,0
"100",100,"Jesús Alonso Escoboza Lugo","América ",68,1.71,"Mexicano",6,3,0,253,0,0
"101",101,"Bruno Amilcar Valdez Rojas","América ",78,1.79,"Paraguayo",8,8,1,645,1,1
"102",102,"Víctor Emanuel Aguilera ","América ",87.8,1.87,"Argentino",10,10,0,900,1,0
"103",103,"Paul Nicolás Aguilar Rojas","América ",67,1.8,"Mexicano",10,10,0,897,4,0
"104",104,"Oscar Haret Ortega  Gatica","América ",80,1.9,"Mexicano",3,2,0,182,0,0
"105",105,"Santiago Cáseres ","América ",84,1.8,"Argentino",5,2,0,197,0,1
"106",106,"Leonardo Gabriel Suárez ","América ",63,1.63,"Argentino",9,5,1,453,2,0
"107",107,"Andrés Felipe Ibargüen García","América ",70,1.75,"Colombiano",8,5,2,389,0,0
"108",108,"Nicolás Benedetti Roa","América ",73,1.77,"Colombiano",0,0,0,0,0,0
"109",109,"Francisco Sebastián Córdova Reyes","América ",65.8,1.74,"Mexicano",7,6,0,531,0,0
"110",110,"Richard Rafael Sánchez Guerrero","América ",70,1.7,"Paraguayo",10,10,0,893,0,0
"111",111,"Antonio de Jesús López Amenábar","América ",66,1.72,"Mexicano",2,0,0,5,0,0
"112",112,"Fernando Rubén González Pineda","América ",70,1.7,"Mexicano",9,7,0,633,2,0
"113",113,"Alex Renato Ibarra Mina","América ",75,1.72,"Ecuatoriano",0,0,0,0,0,0
"114",114,"Miguel Leyva Río De La Loza","América ",70,1.7,"Mexicano",0,0,0,0,0,0
"115",115,"Roger Beyker Martínez Tobinson","América ",86,1.8,"Colombiano",2,0,0,40,0,0
"116",116,"Giovani Dos Santos Ramírez","América ",75,1.75,"Mexicano",8,7,0,569,1,0
"117",117,"Nicolás Ignacio Castillo Mora","América ",81,1.79,"Chileno",1,0,0,15,0,0
"118",118,"Henry Josué Martín Mex","América ",73.3,1.77,"Mexicano",8,7,2,617,1,0
"119",119,"Federico Sebastián Viñas Barboza","América ",80,1.8,"Uruguayo",5,4,3,332,1,0
"135",135,"Raúl Manolo Gudiño Vega","Guadalajara ",91.9,1.96,"Mexicano",0,0,0,0,0,0
"136",136,"José Antonio Rodríguez Romero","Guadalajara ",86,1.86,"Mexicano",10,10,0,900,1,0
